,class,mask,confidence
0,dent,masks-dent/202108141528_001_0005_05_07.png,0
1,dent,masks-dent/202108131305_001_0004_04_01.png,0
2,dent,masks-dent/202108141528_001_0005_05_06.png,0
3,dent,masks-dent/202108141528_001_0005_05_04.png,0
4,dent,masks-dent/202108131305_001_0004_04_03.png,0
5,dent,masks-dent/202108131305_001_0004_04_02.png,0
6,dent,masks-dent/202108141528_001_0005_05_05.png,0.5197248846752279
7,dent,masks-dent/202108141528_001_0005_05_01.png,0
8,dent,masks-dent/202108131305_001_0004_04_06.png,0
9,dent,masks-dent/202108131305_001_0004_04_07.png,0
10,dent,masks-dent/202108150921_001_0006_06_08.png,0
11,dent,masks-dent/202108141528_001_0005_05_02.png,0.5391004403214774
12,dent,masks-dent/202108121517_001_0003_03_08.png,0
13,dent,masks-dent/202108131305_001_0004_04_05.png,0
14,dent,masks-dent/202108131305_001_0004_04_04.png,0
15,dent,masks-dent/202108141528_001_0005_05_03.png,0
16,dent,masks-dent/202108101052_001_0001_01_06.png,0
17,dent,masks-dent/202108111042_001_0002_02_05.png,0
18,dent,masks-dent/202108111042_001_0002_02_04.png,0
19,dent,masks-dent/202108101052_001_0001_01_07.png,0
20,dent,masks-dent/202108101052_001_0001_01_05.png,0
21,dent,masks-dent/202108111042_001_0002_02_06.png,0
22,dent,masks-dent/202108111042_001_0002_02_07.png,0
23,dent,masks-dent/202108101052_001_0001_01_04.png,0
24,dent,masks-dent/202108111042_001_0002_02_03.png,0.5233659856753768
25,dent,masks-dent/202108111042_001_0002_02_02.png,0
26,dent,masks-dent/202108101052_001_0001_01_01.png,0
27,dent,masks-dent/202108101052_001_0001_01_03.png,0
28,dent,masks-dent/202108111042_001_0002_02_01.png,0
29,dent,masks-dent/202108101052_001_0001_01_02.png,0
30,dent,masks-dent/202108101052_001_0001_01_08.png,0
31,dent,masks-dent/202108111042_001_0002_02_08.png,0
32,dent,masks-dent/202108121517_001_0003_03_04.png,0.5232003112998782
33,dent,masks-dent/202108150921_001_0006_06_06.png,0
34,dent,masks-dent/202108131305_001_0004_04_08.png,0
35,dent,masks-dent/202108150921_001_0006_06_07.png,0
36,dent,masks-dent/202108121517_001_0003_03_05.png,0
37,dent,masks-dent/202108121517_001_0003_03_07.png,0
38,dent,masks-dent/202108150921_001_0006_06_05.png,0
39,dent,masks-dent/202108150921_001_0006_06_04.png,0.5344404433078475
40,dent,masks-dent/202108121517_001_0003_03_06.png,0
41,dent,masks-dent/202108121517_001_0003_03_02.png,0
42,dent,masks-dent/202108141528_001_0005_05_08.png,0
43,dent,masks-dent/202108150921_001_0006_06_01.png,0
44,dent,masks-dent/202108121517_001_0003_03_03.png,0
45,dent,masks-dent/202108121517_001_0003_03_01.png,0
46,dent,masks-dent/202108150921_001_0006_06_03.png,0
47,dent,masks-dent/202108150921_001_0006_06_02.png,0
